MAIL	.BOX		;SYS, MAIL BOX file
UFD	.COM	%DMS	;SYS, DMS comment file for this UFD
RPG	.INI	%RPG	;RPG Init File
SWITCH	.INI	%SWITCH	;User Profile "Init" File
VUE	.INI	%VUE	;Init File for VUE
DMS	.LOW	%DMS	;DMS, Tymshare version
CARL	.MAC	%UNV	;Personal MACRO definitions
CKSUM	.MAC	%CKSUM	;Tymshare Checksum Program
D	.MAC	%REVDIR	;Original Cogliano "D" directory program
DATE	.MAC	%SUB	;Get day of Week
DSKCHR	.MAC	%DISK	;Program to print DSKCHR data
ECM12	.MAC	%UNV	;Version 12 of MULREA.MAC
FD	.MAC	%REVDIR	;Directory program
HANG	.MAC	%PENDU	;Hangman game
HDTE75	.MAC	%DMS	;DMS, Date conversion routines
KOSTER	.MAC	%UNV	;Koster Universal
LOOKTT	.MAC	%MISC	;Look at TTy for input
MJK	.MAC	%UNV	;Koster Universal
ND	.MAC	%REVDIR	;Directory Program
TTYO	.MAC	%DMS	;DMS, Teletype output routine
TYMCAB	.MAC	%SUB	;Subroutine package [CAB]
TYMSCN	.MAC	%SUB	;Scanner package [CAB]
1000	.MAC	%1000	;PERF, Performance for I/O
ACCESS	.MSG		;My "Access" Message
PMAZE	.ONE	%MAZE	;MAZE, Plotter version #1
PFD	.SAV		;PFD, Phanthom File Directory Manipulator
1000	.SAV	%1000	;Performance, Running program
DMS	.SHR	%DMS	;DMS, Tymshare version
LOGON	.SHR	%LOGON	;LOGON, Universal Init program
MTADIR	.SHR	%DIRECT	;DIRECT, DEC's version with SCAN/WILD
ADDRES	.SNO	%PHONE	;Snobol program to generate an address file
PRTYUP	.SNO	%SNOBOL	;Snobol 4 pretty-up for FASBOL
SNOSYM	.SNO	%SNOBOL	;Snobol 4 list and cross-reference-er
JOBDAT	.UNV		;Source: Macro Universal File
MACTEN	.UNV		;Source: Macro Universal File
UUOSYM	.UNV	%UNV	;Source: Macro Universal File
