!run (carl)syssho
23-Jun-88 07:22:12
Filename: sysdat.jun
sysdat.jun
   date     time     sys  uptime   frm prt  mcy/s  %% memory     free
02-Jun-88 02:59:07    32   0:09:30   5   1  60828  15    205   199831
02-Jun-88 03:13:37    32   0:24:00   8   3  99097  24     15   199509
02-Jun-88 03:28:36    32   0:39:00   7   1  78922  19    449   199589
02-Jun-88 03:43:36    32   0:54:00   6   1    340   0    293   199745
02-Jun-88 03:58:36    32   1:09:00   7   2    379   0    297   199738
02-Jun-88 04:13:36    32   1:24:00   7   2    303   0    297   199737
02-Jun-88 04:28:36    32   1:39:00   7   2    272   0    297   199737
02-Jun-88 04:43:36    32   1:54:00   7   2    299   0    297   199736
02-Jun-88 04:58:36    32   2:09:00   7   2    267   0    297   199736
02-Jun-88 05:13:36    32   2:24:00   7   2    312   0    297   199735
02-Jun-88 05:28:36    32   2:39:00   7   2    270   0    297   199735
02-Jun-88 05:43:36    32   2:54:00   6   1    321   0    293   199741
02-Jun-88 05:58:36    32   3:09:00   6   1    283   0    293   199741
02-Jun-88 06:13:36    32   3:24:00   6   1    322   0    293   199740
02-Jun-88 06:28:36    32   3:39:00   6   1    283   0    293   199740
   date     time     sys  uptime   frm prt  mcy/s  %% memory     free
02-Jun-88 06:43:36    32   3:54:00   6   1    309   0    293   199739
02-Jun-88 06:58:36    32   4:09:00   6   1    282   0    293   199739
02-Jun-88 07:13:36    32   4:24:00   7   1   6070   1    455   199577
02-Jun-88 07:28:36    32   4:39:00   6   1   1241   0    263   199750
02-Jun-88 07:38:36    32   4:48:59   6   1    629   0    315   199697
02-Jun-88 12:52:43    32   0:01:54   5   1  11595   2    205   199809
02-Jun-88 13:06:48    32   0:16:00   5   0    769   0    261   199750
02-Jun-88 13:21:48    32   0:31:00   5   0  84200  21    261   199752
02-Jun-88 13:36:48    32   0:46:00   6   1   7281   1    293   199712
02-Jun-88 13:51:48    32   1:01:00   6   1    259   0    293   199712
02-Jun-88 14:06:48    32   1:16:00   6   1    293   0    293   199712
02-Jun-88 14:21:48    32   1:31:00   6   1    256   0    293   199711
02-Jun-88 14:36:48    32   1:46:00   7   1   2935   0    455   199547
02-Jun-88 14:51:48    32   2:01:00   6   1    452   0    293   199709
02-Jun-88 15:06:48    32   2:16:00   6   1    346   0    293   199708
   date     time     sys  uptime   frm prt  mcy/s  %% memory     free
02-Jun-88 15:21:48    32   2:31:00   7   2    353   0    297   199701
02-Jun-88 15:36:48    32   2:46:00   7   2    313   0    297   199699
02-Jun-88 15:51:48    32   3:01:00   7   2    618   0    297   199697
02-Jun-88 16:06:48    32   3:16:00   9   3  92760  23    443   199557
02-Jun-88 16:21:48    32   3:31:00   7   2  90940  22    267   199725
02-Jun-88 16:36:48    32   3:46:00   7   2    308   0    267   199724
02-Jun-88 16:51:48    32   4:01:00   7   2    632   0    267   199722
02-Jun-88 17:06:48    32   4:16:00   7   2  29166   7    269   199711
02-Jun-88 17:21:48    32   4:31:00   7   2  53296  13    267   199723
02-Jun-88 17:36:48    32   4:46:00   7   2    317   0    267   199722
02-Jun-88 17:51:48    32   5:01:00   7   2    280   0    267   199722
02-Jun-88 18:06:48    32   5:16:00   7   2    334   0    267   199721
02-Jun-88 18:21:48    32   5:31:00   7   2  93724  23    267   199720
02-Jun-88 18:36:48    32   5:46:00   7   2    311   0    267   199720
02-Jun-88 18:51:48    32   6:01:00   7   2  90328  22    267   199720
   date     time     sys  uptime   frm prt  mcy/s  %% memory     free
02-Jun-88 19:06:48    32   6:16:00   7   2    377   0    267   199719
02-Jun-88 19:21:48    32   6:31:00   8   3  23414   5    271   199709
02-Jun-88 19:36:48    32   6:46:00   8   3  28422   7    271   199708
02-Jun-88 19:51:48    32   7:01:00   8   3    397   0    271   199708
02-Jun-88 20:06:48    32   7:16:00   8   3    363   0    271   199707
02-Jun-88 20:21:48    32   7:31:00   9   4    838   0    292   199685
02-Jun-88 20:36:51    32   7:46:03  13   9 137835  34    349   198818
02-Jun-88 20:51:51    32   8:01:03  12   9 160051  40    106   198441
02-Jun-88 21:00:04    32   8:09:16  11   7 151948  37     13   198543
02-Jun-88 21:14:51    32   8:24:03  11   6  59095  14    493   198566
02-Jun-88 21:29:51    32   8:39:03  10   5  85168  21    349   198727
02-Jun-88 21:44:51    32   8:54:03  10   5   8244   2    367   198682
02-Jun-88 21:59:51    32   9:09:03   9   4   3636   0    321   198731
02-Jun-88 22:14:51    32   9:24:03   9   4   3489   0    383   198659
02-Jun-88 22:29:51    32   9:39:03   8   3   3348   0    321   198724
   date     time     sys  uptime   frm prt  mcy/s  %% memory     free
02-Jun-88 22:44:51    32   9:54:03   8   3    351   0    321   198724
02-Jun-88 22:59:51    32  10:09:03   8   3    392   0    321   198723
02-Jun-88 23:14:51    32  10:24:03   8   3    422   0    321   198723
02-Jun-88 23:29:51    32  10:39:03   8   3    383   0    321   198722
02-Jun-88 23:44:51    32  10:54:03   8   3    350   0    321   198721
02-Jun-88 23:59:51    32  11:09:03   8   3    392   0    321   198719
03-Jun-88 00:14:51    32  11:24:03   7   2    400   0    317   198724
03-Jun-88 00:29:51    32  11:39:03   7   2   1127   0    317   198718
03-Jun-88 00:44:51    32  11:54:03   7   2    360   0    317   198718
03-Jun-88 00:59:51    32  12:09:03   8   3    749   0    379   198633
03-Jun-88 01:14:51    32  12:24:03   7   2  12342   3    347   198677
03-Jun-88 01:29:51    32  12:39:03   7   2   6975   1    347   198672
03-Jun-88 01:44:51    32  12:54:03   7   2   1208   0    347   198672
03-Jun-88 01:59:51    32  13:09:03   7   2   1251   0    347   198671
03-Jun-88 02:14:51    32  13:24:03   7   2   1214   0    347   198670
   date     time     sys  uptime   frm prt  mcy/s  %% memory     free
03-Jun-88 02:29:51    32  13:39:03   7   2   1241   0    347   198669
03-Jun-88 02:44:51    32  13:54:03   7   2   1222   0    347   198669
03-Jun-88 02:59:51    32  14:09:03   7   2   2189   0    347   198669
03-Jun-88 03:00:11    32  14:09:23   7   2   6593   1    347   198668
03-Jun-88 04:19:26    32   0:00:48   5   1  20924   5    204   198820
03-Jun-88 04:33:37    32   0:15:00   6   1    898   0    293   198743
03-Jun-88 04:48:37    32   0:30:00   6   1    368   0    293   198743
03-Jun-88 05:03:38    32   0:45:00   6   1    382   0    293   198743
03-Jun-88 05:18:37    32   1:00:00   6   1    357   0    293   198743
03-Jun-88 05:33:37    32   1:15:00   7   2  57076  14    325   198706
03-Jun-88 05:48:38    32   1:30:00   7   2 108153  27    325   198706
03-Jun-88 06:03:37    32   1:45:00   7   2  94297  23    325   198705
03-Jun-88 06:18:37    32   2:00:00   7   2 103967  25    325   198704
03-Jun-88 06:33:38    32   2:15:00   7   2 103385  25    325   198703
03-Jun-88 06:48:37    32   2:30:00   6   1  48370  12    293   198737
   date     time     sys  uptime   frm prt  mcy/s  %% memory     free
03-Jun-88 07:03:37    32   2:45:00   8   3   6472   1    467   198477
03-Jun-88 07:18:38    32   3:00:00   7   1   1014   0    455   198576
03-Jun-88 07:33:37    32   3:15:00   6   1   1279   0    263   198750
03-Jun-88 07:48:37    32   3:30:00   6   1    619   0    263   198749
03-Jun-88 08:03:38    32   3:45:00   6   1    361   0    263   198748
03-Jun-88 08:18:37    32   4:00:00   6   1    329   0    263   198748
03-Jun-88 08:33:37    32   4:15:00   6   1    366   0    263   198746
03-Jun-88 08:48:38    32   4:30:00   6   1    331   0    263   198746
03-Jun-88 09:03:37    32   4:45:00   6   1    367   0    263   198746
03-Jun-88 09:18:37    32   5:00:00   6   1    343   0    263   198744
03-Jun-88 09:33:38    32   5:15:00   6   1    364   0    263   198743
