
246425,,241017	123,105,124,40,360   
32515,,52517	15,123,105,124,360   
20450,,17	10,112,0,0,360   
100510,,37777	40,122,3,377,360   
20064,,17	10,15,0,0,360   
112110,,17	45,22,0,0,360   
402544,,330017	201,131,33,0,360   
56234,,17	27,47,0,0,360   
112434,,17	45,107,0,0,360   
22570,,17	11,136,0,0,360   
116504,,14417	47,121,1,220,360   
234436,,154017	116,107,215,200,360   
100604,,20017	40,141,2,0,360   
402721,,30017	201,164,103,0,360   
240515,,271017	120,123,127,40,360   
402575,,510017	201,137,151,0,360   
112704,,17	45,161,0,0,360   
540122,,405017	260,24,240,240,360   
234522,,152477	116,124,215,123,360   
403061,,550017	201,214,155,0,360   
402751,,40017	201,172,104,0,360   
410672,,405017	204,156,240,240,360   
156310,,651417	67,62,65,60,360   
112524,,17	45,125,0,0,360   
20004,,17	10,1,0,0,360   
656516,,405017	327,123,240,240,360   

