
15-SEPT-1987	10:13

TOTAL PAGES 44850  FILES 3000

  INHOUSE      QUOTA             OVER          OUTHOUSE

44119   2840                             731   160

 32 142661118 1000000 WRS                100   731 160   1250 SAILIB
 51  8481  31  25000 OSNF
 60  3867 135  12500 M33
 66  2767  15  25000 KL10
 71  2204 120  25000 CARL
 74  1480 171   5000 TUMS
 77  1344 134  10000 MPL
 80  1078 172  10000 NDT
 82  1035 114  10000 SPL
 84   909  76  25000 JMS
 86   890 179   1250 XEXEC
 88   826  32  25000 MAIL
 90   738  51  10000 PEAK
 91   674  95   1250 11CURR
 93   635  24   1250 SPPARCH
 94   457  75   5000 SPPOPER
 95   395  28   2500 COPYPC
 96   369  71   2500 ISISLIB
 96   267   8  16960 SUBMIT
 97   240  19  25000 INFO
 97   219  13   1250 TBAUSPS
 98   199  15  10000 TXSDOC
 98   193  13   1250 PUB
 99   156  33   1250 DENCOFF
 99    84  38   2500 MONDOC
 99    83  10  25000 OSMAN
 99    81  10    750 XPPTEST
 99    37   4  10000 KJJ
 99    31   6  25000 AFD
 99    27   6   1250 SYSMAINT
 99    25   5   1250 TYMGRIPE
 99    21   4   1250 OSU
 99    21   5  37500 SAILTEST
 99    14   7   1250 HELGEM
 99     4   2   1250 FLETCHERC
100     2   1   1250 KS2020
100     0   0   4000 SPUNKTEST
100     0   0  34464 VUE
100     0   0  20000 TSUCOOP
100     0   0  12500 TXSSUP
100     0   0  15000 SPUNKDEV
