
10-MAY-1990	0:45

TOTAL PAGES 451721  FILES 35369

  INHOUSE	QUOTA		  OVER		OUTHOUSE

451693   35359                           28   10

  0     30   15  25000 ACTRTY             35     10    2   5000 LOADII
  0     37    9  25000 AFD                 0      0    0   1250 SYSINST
  0      5    3   1000 ALARMCLOCK         64     18    8  15000 TRWNET
  0     99   20   2000 ANEWMAN
  0      4    1   1250 APPSUP
  0   2222  110  25000 ARCHIVES
  0      6    3  25000 ATPCH
  0     65    4 100000 AUTOPATCH
  0      8    4 200000 BADFILES
  0      2    1   1250 BAIGENT
  0      2    1   5000 BARTLETW
  0    201    7  25000 BILLING10
  0     84   15    500 BIONIC
  0      0    0    500 BLACKM
  0   1136   90  25000 BLISS36
  0      2    1   1250 BRING
  0   1048   58  15000 BUBBNET
  0      5    2  25000 BURRIESCIN
  0     20   10  62500 BWORK
  9  42532 1466 100000 CARL
  0    813   64  25000 CB-DECDIR
  0    579   50  25000 CB-DEC
  0    632   31  25000 CB-EXE
  0      5    3  25000 CB-GALAXY
  0    579   52  25000 CB-GAMES
  0   1033  101  25000 CB-INFO
  0    215   13  25000 CB-KERMIT
  0    153   28  25000 CB-MAGNUM
  0   1493   75  25000 CB-MAIL
  0    102   34  25000 CB-MEMO
  0    165   41  25000 CB-PARSER
  0   1202  185  25000 CB-SAIL
  0     80   30  25000 CB-SAIL-ARC
  0     31   12  25000 CB-SAIL-LIB
  0    547  112  25000 CB-SAILIB
  0    544   45   1250 CHKACT10
  0    154   15   1250 CMUAIL
  0    930  300  30000 CNFE
  0     52   14   1000 COBOL10
  0    705   43   1000 COBOLQA
  0    578   37   2000 COPYPC
  0   2674  136   5000 CRASH
  0     40   14   1000 CSTEMPLATE
  0    183   15   1250 CTMKTG1
  0     96   11    250 CTMKTG7
  0    182   15  25000 CUD10
  1   6670 1165  50000 CURR11
  0      6    3   1000 CUSP10
  0    185   37  12500 DANIELSR
  0    482   42   2500 DCOFFEY
  0   3309  134   5000 DEC
  0    808   51  25000 DEC-CUSPS
  0      4    2   1200 DENCOFF
  1   6661  585   8000 DERNST
  0    225   20   2500 DIAG
  0     48   16  25000 DIAG10C
  0    130    5   5000 DIAG10D
  0    142   41   2500 DIAG10F
  0      2    1   2500 DIAG10V
  0    601   25   2500 DIAG10
  0   3602  143   6250 DIAGCON
  0    910  252   6250 DIAGSRC
  0     19    1   4000 DNDUTIL
  0     40   16   1250 DOC11
  0      6    3   1000 DOC2
  0   1135  131   1250 DOCAIL
  0    218   41   6250 DONAHUE
  0    380   48   1250 DRM
  0    248   71   6250 DWS
  0      6    3   6250 EBDIAG
  1   5184  416   8000 EBUS
  0      5    3   2500 EDITOR
  0   1784   73  12500 EMACS
  0      0    0    250 EMSAA.SERVER
  0    230    8    250 EMSACCT
  0    148   22   2000 ENSS
  0     74   14   1388 ERNSTD
  1   5541  201 125000 EXECX
  0    355   37   2500 EYES
  0      2    1  10000 F10
  0      2    1   5000 F10QA
  0   2466  147   3000 F3CODE
  0      2    1  10000 F3CODE-X
  0   3505  232   5000 F40
  0     85    5   1250 FBATCH
  0     96   12   5000 FJSAIL
  0   1001   58   1250 FLETCHERC
  0    111   22    125 FOO
  0      0    0  10000 FORK
  0      2    1   3000 FOROTSQA
  0   1428  158   3000 FOROTS
  0      9    1   6000 FTMAGNUM
  0   1758   99   5000 FTSYS
  0      3    1   1250 FTSYSDOC
  0    422   14   1250 FTTBA
  0     12    6  62500 GABRIELG
  0   2079  126  10000 GAMES
  0     28    1   2500 GAZEL
  0    154   29   1500 GIGI
  0      2    1   1250 GKING
  0     39    5   1000 GLYONS
  0      2    1    250 HEALY
  0    585   74   6000 HELGEM
  0     54   13    250 HLP
  0    944   99   2000 IMPORT
  0   1227  127  25000 INFO
  0      2    1   1250 IWU
  0   2256  148  20000 JAIL
  0     20    7  62500 JASONG
  0    203   34   2500 JBENNETT
  0    112    2   2500 JCLMIN
  0     39    5   1250 JMARCIN
  2   9396  745  25000 JMS
  0    227   35    250 JMS-CSM
