HEL	.A2		;ASCII (ie printable/readable) version of HEL
AI	.AI		;Suai character set (sorted by AI name)
EDIT10	.AI		;Notes on the SUAI character set
EMPIRE	.AID		;Notes (compressed) for playing EMPIRE
AI	.ASC		;Notes on the SUAI character set
EXPL	.ASM		;Explanation of QUNIX assembler
GOGOL	.BAK	SAIL	;SAIL -- massive needed runtimes
PFL37	.BAK		;Profile program stuff
Z	.BAK		;SAIL BUG: array access code (INAC problem)
TC	.BLI		;TC the tempcor reader yet another source
TC2	.BLI		;TC the tempcor reader yet another source
CASE	.BNF		;A "full" documentation of syntax for CASE statement
MAIL	.BOX		;contains MAIL (surprise, surprise)
FOONLY	.BUG		;Results of check (TEXT)
SAIL	.BUG		;SAIL BUG: a gift from WRS
LOG	.C		;Binary log (in C)
BLOAT	.CCL	BLOAT	;Bloat expands shrunken files (hamm-compressed)
CMPRES	.CCL		;Text and so on compression (Hamming code?)
STORE	.CCL		;BACKUP (tape utility) COMMAND file for SAIL sources
BAIL	.CHG	SAIL	;Changes to BAIL (user DOCUMENT)
BLOAT	.CMD	BLOAT	;Bloat expands shrunken files (hamm-compressed)
FYSCMD	.CMD		;MicroFICHE command file
HUFTRY	.CMD	HUFMANN	;Try a Huffmann code out
TBAIL	.CMD		;A hacked-up BAIL to check new goodies in
BEZIER	.COD		;Create a Bezier curve (more graphics curves)
PFLSCN	.COM		;Profile program stuff
EDIT10	.CRB		;EDIT 10 crib notes
PAGEIO	.DC2		;DOCUMENT -- Page calls (early version?)
BLTX	.DCL	BLOAT	;Bloat Declaration file
BLTY	.DCL	BLOAT	;Bloat Declaration file
BLTZ	.DCL	BLOAT	;Bloat Declaration file
HUFMAK	.DCL	HUFMANN	;Builds a Huffmann tree
PRIQUE	.DCL	HUFMANN	;Priority queue code
TREE	.DCL	HUFMANN	;Daata space for HUFMANN trees
SAHEAD	.DEF		;a set of "standard" SAIL DEFINEs and LETs
STORE	.DIR		;BACKUP output -- from doing a STORE
AST	.DOC		;Attempts at defining "Abstract symbolic text"
BAIL	.DOC	SAIL	;Internal document on BAIL
BAILMX	.DOC		;Macro expansion notes for BAIL
BAISYM	.DOC		;BAIL new filed symbol table document
CABNET	.DOC	CABNET	;An attempt at starting "CABNET"
COMMUN	.DOC		;"HOST/HOST" communication notes
DIRALL	.DOC		;Notes to develop a multi-system directory keeper
FIND10	.DOC		;USER DOCUMENT for FIND (upto v 12)
FSHSPL	.DOC		;Pattern for making a FSHSPL command file
GOGTAB	.DOC		;GOGTAB documents and document assembler
MAPPAG	.DOC		;USERDOC for some of the mapping stuff
NEWSAI	.DOC		;SAIL major version update (USERDOC)
PAGEIO	.DOC		;USERDOC for some of the mapping stuff
