 SIX AA 13 1 180
   1 1.00   -4 25.53 177.0 .004  87.1 .97   -4
   2 1.00   -8 25.45 174.0 .007  84.2 .97   -8
   5 0.98  -21 24.87 165.3 .007  84.2 .96  -20
  10 0.94  -40 23.07 152.0 .031  62.8 .91  -39
  20 0.84  -71 18.48 131.2 .050  42.9 .81  -70
  30 0.77  -92 14.59 117.1 .059  29.7 .73  -90
  40 0.72 -107 11.77 107.2 .063  20.7 .69 -105
  50 0.70 -117  9.74  99.7 .065  14.1 .66 -115
  60 0.69 -125  8.24  93.7 .065   8.9 .65 -123
  80 0.68 -135  6.20  84.1 .064   1.3 .64 -133
 100 0.69 -141  4.90  76.5 .061  -4.3 .65 -139
 140 0.73 -149  3.32  64.4 .053 -11.6 .68 -147
 180 0.77 -155  2.42  54.7 .044 -14.8 .72 -153
 SIX BB 20 10 500 
  10 .97  -10 8.71 170 .02 83 .80  -14
  20 .98  -18 8.41 163 .03 77 .80  -24
  30 .98  -27 8.41 155 .05 71 .82  -36
  40 .96  -37 8.13 145 .07 63 .82  -49
  50 .91  -47 7.59 137 .08 56 .79  -60
  60 .88  -55 7.08 131 .09 51 .79  -70
  70 .84  -64 6.61 123 .10 45 .77  -80
  80 .81  -71 6.10 118 .11 41 .75  -89
  90 .79  -78 5.62 113 .11 37 .74  -95
 100 .76  -84 5.19 109 .11 33 .73 -102
 140 .69 -103 3.85  95 .12 24 .71 -120
 180 .66 -118 2.99  86 .12 17 .70 -133
 200 .66 -123 2.69  82 .13 15 .71 -137
 250 .66 -135 2.14  74 .12  9 .73 -147
 300 .66 -145 1.70  66 .11  5 .74 -152
 350 .66 -153 1.38  61 .10  4 .74 -155
 400 .68 -158 1.16  57 .10  5 .75 -156
 450 .72 -165  .99  55 .09  8 .76 -162
 475 .72 -168  .93  53 .09 10 .77 -163
 500 .72 -170  .87  53 .08 13 .77 -166
 SIX CC 20 10 500 
  10 .92  -29  15   158 .03 71   .65  -40 
  20 .91  -47  13.5 145 .05 59   .67  -63 
  30 .86  -68  12.1 130 .07 46   .72  -87 
  40 .79  -86  10.1 116 .09 34   .73 -107 
  50 .74  -99  8.39 108 .09 27   .71 -119 
