RESULT	.CKS		;Checksums for result files
SOURCE	.CKS		;Checksums for result files
SAILIB	.CMD		;Compilation specs for building library
SAILIB	.CML		;CARMEL list of modules for library
SAILIB	.COM		;COM file for constructing libraries
APEND	.DCL	*	;APPEND and !WRTEND
BKFNS	.DCL	*	;READBR + RVSCAN
DMATH	.DCL	*	;math functions (includes long stuff)
LBALL	.DCL	*	;require all .DCL files
MPLIB	.DCL	*	;GETMAP and friends
PORT	.DCL	*	;!PORTX (port print trap)
RNDIO	.DCL	*	;RCHPTR and SCHPTR
SERCH	.DCL	*	;FIND routines (MAKFSM,USEFSM,...)
SOUDX	.DCL	*	;soundex function
STRNG	.DCL	*	;ENDLOP+ENDCHR+BYTDIF + many string functions
SVLOW	.DCL	*	;SAVLOW -- save low segment
XTEND	.DCL	*	;extensions (FRMOPV+FRMOPR+REDUFD + WFW stuff)
GOGTAB	.DEF	*	;requires appropriate GOGTAB: (SYS) or (FTSYS)
LBALL	.DEF	*	;requires all "definitions" files
SAIL	.DEF	*	;defines controls, sets environ, ...
HLUNV	.FAI		;Preamble for HiSeg version of FAIL code
LLUNV	.FAI		;Preamble for HiSeg version of FAIL code
SAILIB	.FAI		;Source for FAIL-coded library routines
HLIBA	.REL	*	;hiseg library for version 102400,,x
LLIBA	.REL	*	;lowseg library for version 102400,,x
GENARY	.SAI		;Source for GENARY (make a new array)
LOKDUL	.SAI		;Source for WFW "look in DUL" function
MAKSLB	.SAI		;Builds the command list files from .SUM
RDTIME	.SAI		;Source for RDTIME
READBR	.SAI		;Source for the Read break table function
REDUFD	.SAI		;Source for new "read UFD" function
RVSCAN	.SAI		;Source for the reverse SCAN function
SAVLOW	.SAI		;Source for the "save the lowseg" code
SLBAPP	.SAI		;Source: APPEND and !WRTEND
SLBCAT	.SAI		;Source for "string concatenation channels"
SLBCVD	.SAI		;CNVDATE and CNVDTIME functions
SLBDAT	.SAI		;RDDATE and STDATE functions
SLBDTR	.SAI		;Double precision trig functions 
SLBFSM	.SAI		;Source for normal FSM code
SLBFSS	.SAI		;Source for leapish FSM code
SLBMAP	.SAI		;Source for map code: MAP1CR,MAP2CR,ALLOW,GETMAP
SLBPRT	.SAI		;Source for !PORTX (port-print code
SLBRIO	.SAI		;source: RCHPTR,SCHPTR
SLBRPG	.SAI		;source for RPGINI, RPGNXT, and so on
SLBSCN	.SAI		;Source for the WFW scanner
SLBUFD	.SAI		;source for WFW directory scanner
SOSFSM	.SAI		;Source for SOS (no line number) search
SOUNDX	.SAI		;Soundex routine source
STRSRC	.SAI		;source for STRSRC (find string in table)
SAILIB	.SUM		;Summary of contents of the library
