   .18600+02   .12070+03   .18500+02   .12140+03   .18500+02   .12220+03        
   .17200+02   .12250+03   .16200+02   .12210+03   .15400+02   .12140+03        
   .14100+02   .12180+03   .14000+02   .12230+03   .14300+02   .12280+03        
   .13900+02   .12400+03   .12900+02   .12400+03   .13400+02   .12310+03        
   .13900+02   .12260+03   .13100+02   .12270+03   .13900+02   .12170+03        
   .13500+02   .12130+03   .12600+02   .12160+03   .12300+02   .12110+03        
   .13500+02   .12040+03   .13600+02   .12100+03   .14600+02   .12040+03        
   .15300+02   .11980+03   .16200+02   .11980+03   .16000+02   .12030+03        
   .17000+02   .12040+03   .18000+02   .12040+03   .18600+02   .12070+03        
   .12340+11   .00000      .12500+02   .12440+03   .12700+02   .12510+03        
   .11300+02   .12570+03   .10400+02   .12530+03   .10000+02   .12470+03        
   .96000+01   .12400+03   .92000+01   .12300+03   .98000+01   .12240+03        
   .10600+02   .12270+03   .10500+02   .12200+03   .11900+02   .12200+03        
   .11500+02   .12320+03   .11000+02   .12330+03   .11200+02   .12400+03        
   .11900+02   .12450+03   .12500+02   .12440+03   .12340+11   .00000           
   .98000+01   .12550+03   .89000+01   .12640+03   .79000+01   .12670+03        
   .70000+01   .12660+03   .64000+01   .12630+03   .71000+01   .12600+03        
   .68000+01   .12540+03   .62000+01   .12600+03   .56000+01   .12550+03        
   .60000+01   .12470+03   .64000+01   .12410+03   .70000+01   .12410+03        
   .73000+01   .12440+03   .79000+01   .12360+03   .75000+01   .12350+03        
   .74000+01   .12300+03   .78000+01   .12270+03   .69000+01   .12200+03        
   .80000+01   .12210+03   .82000+01   .12300+03   .86000+01   .12300+03        
   .86000+01   .12390+03   .82000+01   .12420+03   .86000+01   .12470+03        
   .90000+01   .12490+03   .91000+01   .12570+03   .98000+01   .12550+03        
   .12340+11   .00000     -.13000+01   .13070+03  -.80000+00   .13100+03        
  -.40000+00   .13210+03  -.40000+00   .13300+03  -.80000+00   .13400+03        
  -.20000+01   .13400+03  -.30000+01   .13490+03  -.33000+01   .13540+03        
  -.26000+01   .13630+03  -.20000+01   .13710+03  -.14000+01   .13780+03        
  -.18000+01   .13870+03  -.22000+01   .13980+03  -.23000+01   .14060+03        
  -.26000+01   .14140+03  -.30000+01   .14250+03  -.34000+01   .14340+03        
  -.38000+01   .14450+03  -.43000+01   .14530+03  -.48000+01   .14600+03        
  -.54000+01   .14580+03  -.57000+01   .14660+03  -.60000+01   .14760+03        
  -.64000+01   .14800+03  -.69000+01   .14720+03  -.76000+01   .14770+03        
  -.85000+01   .14840+03  -.90000+01   .14900+03  -.95000+01   .14960+03        
