1
 DATE:      8/24/74
 REGION:   NORTHWEST 
 DISTRICT: L.M.S.C.  
 SALESPERSON:  1201
                                                          MTD      MTD
             TRK.       DAILY              MTD        AVER. STOR. TOTAL
   CUSTOMER  CODE  TRU   TTY   $     TRU   TTY    $   BLKS.   $     $
  ---------- ---- ---------------- ------------------ ----------- -----
 
 C31:
  LOCKHEED M  14      0    0     0   1260    18   309   130    41   350
  LOCKHEED M  21      0    0     0      0     0     0    15     5     5
  LOCKHEED M  23      0    0     0   9074    26  1167  4727  1513  2680
  LOCKHEED M  35      0    0     0      0     0     0    50    16    16
  LOCKHEED M  56      0    0     0      0     0     0   240    77    77
  LOCKHEED M  61      0    0     0      0     0     0   845   270   270
  LOCKHEED M  83      0    0     0      0     0     0    10     3     3
  LOCKHEED M  84      0    0     0      0     0     0    40    13    13
  LOCKHEED M  86      0    0     0      0     0     0     5     2     2
  LOCKHEED M  88      0    0     0      7     0     4    45    14    18
  LOCKHEED M  89      0    0     0      0     0     0   275    88    88
  LOCKHEED M  95      0    0     0      0     0     0  1155   370   370
  LOCKHEED M  96      0    0     0   1711    13   296    81    26   322
  LOCKHEED M  97      0    0     0      0     0     0    15     5     5
  LOCKHEED M  98      0    0     0      0     0     0    70    22    22
 **SUBTOTAL**         0    0     0  12052    57  1776  7703  2465  4241
 C33:
  LOCKHEED M   1      0    0     0      0     0     0    18     6     6
  LOCKHEED M   2      0    0     0      0     0     0     4     1     1
  LOCKHEED M   4      0    0     0      0     0     0    98    31    31
  LOCKHEED M   9     32    0     5     32     0     5     0     0     5
  LOCKHEED M  11    277    2    46    277     2    46   100    32    78
  LOCKHEED M  12      0    0     0      0     0     0   290    93    93
  LOCKHEED M  13      0    0     0      0     0     0   160    51    51
  LOCKHEED M  15      0    0     0      0     0     0    28     9     9
  LOCKHEED M  16      0    0     0      0     0     0   109    35    35
  LOCKHEED M  22      0    0     0      0     0     0   465   149   149
  LOCKHEED M  23      0    0     0      0     0     0   154    49    49
  LOCKHEED M  24      0    0     0      0     0     0   154    49    49
  LOCKHEED M  37    415    0    47    415     0    47    12     4    50
  LOCKHEED M  38      0    0     0      0     0     0     5     1     1
  LOCKHEED M  45      0    0     0      1     0     0     5     1     2
  LOCKHEED M  50      0    0     0      0     0     0     5     1     1
  LOCKHEED M  55      0    0     0      0     0     0    70    22    22
  LOCKHEED M  56      0    0     0      0     0     0    70    22    22
  LOCKHEED M  57      0    0     0      0     0     0   190    61    61
  LOCKHEED M  61      0    0     0      0     0     0    10     3     3
  LOCKHEED M  63      0    0     0      0     0     0    12     4     4
  LOCKHEED M  71      0    0     0      0     0     0     3     1     1
  LOCKHEED M  74      0    0     0      1     0     0    12     4     4
  LOCKHEED M  83      0    0     0      0     0     0     5     2     2
  LOCKHEED M  84      0    0     0      0     0     0    68    22    22
  LOCKHEED M  86      0    0     0      0     0     0    41    13    13
  LOCKHEED M  88      0    0     0      0     0     0   379   121   121
  LOCKHEED M  89      0    0     0      0     0     0    19     6     6
 **SUBTOTAL**       724    2    98    726     2    98  2486   793   891
 C34:
  LOCKHEED M  13      0    0     0      0     0     0   321   103   103
  LOCKHEED M  15      0    0     0     48     1    11    79    25    35
