.ch 0,!CHREL,C,release device;
.ch 1,!CHCLS,C,close a file;
.ch 2,!CHOPT,I,output from channel;
.ch 3,!CHIPT,I,input from channel;
.ch 4,!CHLK,F,select file for input;
.ch 5,!CHENT,F,select file for output;
.ch 6,!CHUSI,F,set file pointer by block;
.ch 7,!CHUSO,F,set file position by block;
.ch 10,!CHUGF,F,read disk file position;
.ch 11,!CHREN,F,rename or delete a file;
.ch 12,!CHMTA,M,perform magtape functions;
.ch 13,!CHOPN,C,open a channel;
.ch 14,!CHIN,I,input from channel;
.ch 15,!CHOUT,I,output from channel;
.ch 16,!CHSS,C,set file status bits;
.ch 17,!CHGS,C,read file status bits;
.ch 20,!CHSZ,C,skip if file status bits clear;
.ch 21,!CHSO,C,skip if file status bits set;
.ch 22,!CHIBF,B,create input buffer ring;
.ch 23,!CHOBF,B,create output buffer ring;
.ch 24,!CHSK,M,seek to current page;
.ch 25,!CHWT,M,wait until device inactive;
.ch 26,!CHMBF,B,move buffers;
.ch 27,!CHFSI,F,set file pointer by block;
.ch 30,!CHFSO,F,set file position by block;
.ch 31,!CHPSI,F,set file pointer by page;
.ch 32,!CHPSO,F,set file position by page;
.ch 33,!CHUFD,M,read UFD;
.ch 34,!CHMGN,M,manipulate update-interlock bit;
.ch 35,!CHMFP,P,map file pages;
.ch 36,!CHDFP,P,delete file page;
.ch 37,!CHXFP,P,exchange file pages;
.ch 40,!CHCFP,P,create file page;
.ch 41,!CHMEN,F,select file for multi-update output;
.ch 42,!CHVRB,M,validate RIB;
.ch 43,!CHSMP,P,super-map file pages;
.ch 44,!CHFFI,P,find first interesting page;
.ch 45,!CHFTR,F,truncate file;
.ch 46,!CHNXT,C,get next available channel;
.ch 47,!CHVMP,P,move virtual page to a file;

